question	answer	tags
What is UCB1 and what does each term mean?	UCB1(node) = Q/N + C * sqrt(ln(N_parent) / N), where Q/N is the mean reward (exploitation), C*sqrt(ln(N_parent)/N) is the exploration bonus. Q is total accumulated reward, N is visit count for this node, N_parent is the parent's visit count. C controls the exploration-exploitation tradeoff.	agents micromcts
What is the exploration-exploitation tradeoff in MCTS?	Exploitation favors nodes with high average reward (Q/N). Exploration favors nodes visited rarely relative to their parent (low N → large sqrt term). UCB1 balances both: early in search, all nodes are underexplored so the exploration bonus dominates; as N grows, reward quality takes over.	agents micromcts
What are the four phases of MCTS?	(1) Selection: traverse the tree from root, picking children by UCB1 until reaching a leaf. (2) Expansion: add one or more child nodes to the leaf. (3) Simulation (rollout): play out a game to completion from the new node using a default policy. (4) Backpropagation: propagate the result back up through all traversed nodes, updating Q and N.	agents micromcts
Why do random rollouts work in MCTS?	By the law of large numbers, the average outcome of many random games from a position converges to the true expected value of that position. With enough simulations, even uniformly random play produces reliable value estimates — the signal is noisy per rollout, but unbiased and accumulates across thousands of simulations.	agents micromcts
How does simulation count affect MCTS play quality?	More simulations narrow the confidence interval around each node's value estimate. With few simulations, the best-looking node is selected mostly based on exploration noise. With many simulations, Q/N converges toward the true expected reward and the tree reliably identifies the genuinely best move.	agents micromcts
What is the difference between tree policy and default policy in MCTS?	The tree policy governs selection inside the already-built tree — it uses UCB1 to balance exploration and exploitation. The default policy governs rollout from a new leaf to a terminal state — typically random or a fast heuristic. The default policy does not need to be strong, only fast and unbiased.	agents micromcts
When does MCTS outperform minimax?	MCTS scales to games with large branching factors (Go: ~250 legal moves per turn) where minimax cannot search more than a few plies. Minimax requires an accurate evaluation function for non-terminal states; MCTS replaces that with random rollouts, removing the need for hand-crafted evaluation. MCTS also anytime: any simulation budget yields a playable result.	agents micromcts
What is backpropagation in MCTS?	After a rollout produces a terminal reward R, backpropagation walks from the expanded leaf back to the root, incrementing N by 1 and adding R to Q at every ancestor. This ensures the visit count and accumulated reward reflect all simulations that passed through each node.	agents micromcts
How does MCTS handle games with discrete action spaces?	Each node represents a game state; its children represent the states reachable by each legal action. Expansion adds a child for one unexplored action. The tree grows lazily — a node is only added when its parent is first selected after all siblings have been visited at least once.	agents micromcts
What is the role of the exploration constant C in UCB1?	C scales the exploration bonus. High C: the agent frequently revisits under-explored branches, at the cost of fewer deep simulations of promising lines. Low C: the agent commits early to high-reward branches, risking missing alternatives. C = sqrt(2) is theoretically motivated for rewards in [0,1]; in practice it is tuned to the reward scale.	agents micromcts
What is the Thought→Action→Observation (ReAct) loop?	The agent produces a natural-language Thought (internal reasoning about the current state), then selects an Action (a call to a tool or environment), then receives an Observation (the tool's output). This cycle repeats until the agent produces a final answer. The observation grounds the next thought in real evidence.	agents microreact
Why does interleaving reasoning with action outperform pure reasoning or pure acting?	Pure reasoning (chain-of-thought) hallucinates facts it cannot verify. Pure acting (no reasoning) cannot plan multi-step strategies. ReAct's interleaving lets each action verify or refute the previous reasoning step, correcting errors before they compound across many steps.	agents microreact
What is action masking and why does it matter?	Action masking zeroes out the logits (or probabilities) of illegal or contextually irrelevant actions before the agent samples. This prevents the policy from wasting probability mass on impossible moves, keeps gradients away from never-useful actions, and stabilizes REINFORCE training by ensuring rollouts never produce invalid transitions.	agents microreact
How does REINFORCE apply in the ReAct agent context?	The agent's sequence of (Thought, Action) pairs forms a trajectory. Each action's log-probability is weighted by the episode reward: theta += lr * sum(log pi(a_t | s_t) * R). High-reward trajectories increase the probability of the reasoning-action sequences that produced them, training the agent to both reason and act more effectively.	agents microreact
What is reward shaping and why is it sensitive?	Reward shaping adds auxiliary reward signals (e.g., partial credit for retrieving a relevant document, penalty for repeating an action) to guide learning before the terminal reward arrives. It is sensitive because a poorly designed shaping function can create unintended optima — the agent finds ways to accumulate shaped rewards without solving the actual task.	agents microreact
How does ReAct differ from chain-of-thought (CoT) prompting?	CoT generates a reasoning chain that terminates in an answer, with no intermediate grounding. ReAct inserts Action and Observation steps into the chain: the agent can call external tools, retrieve documents, or query an environment between reasoning steps. CoT reasons; ReAct reasons AND acts.	agents microreact
What is the agent loop: perceive → reason → act → learn?	Perceive: receive an observation from the environment (initial question, tool output, game state). Reason: produce a Thought using the language model conditioned on history. Act: select and execute an action (tool call, move, API request). Learn: update policy parameters using the reward signal from the outcome.	agents microreact
Why must the ReAct agent maintain a running context window?	Each Thought is conditioned on all prior Thoughts, Actions, and Observations. Without the full history, the agent cannot track what it has already tried, what evidence it has collected, or what sub-goals remain. The context window is the agent's working memory.	agents microreact
What is the key difference between MCTS and REINFORCE for agent training?	MCTS uses tree search at inference time — it explores the action tree explicitly during each decision, accumulating statistics without gradient updates. REINFORCE updates policy parameters offline from sampled trajectories — it trains a parametric policy so that future decisions improve without running search. MCTS is planning; REINFORCE is learning.	agents micromcts microreact
How do MCTS and ReAct complement each other?	MCTS excels at structured, bounded action spaces (games) where rollouts are fast and the reward is clear. ReAct excels at open-ended language tasks where actions involve tool calls and intermediate observations matter. A combined agent can use MCTS to plan over a discrete action space while using a language model to generate natural-language thoughts at each node.	agents micromcts microreact
